id,value
"id_0,26.906438863243434"
"id_1,67.01708647559553"
"id_2,24.86413272711176"
"id_3,28.4022729049682"
"id_4,12.986833427720915"
"id_5,31.090973112383878"
"id_6,41.854556340672566"
"id_7,19.588577892417177"
"id_8,53.675747526629685"
"id_9,34.50669540753218"
"id_10,39.1912826477979"
"id_11,61.56835997091841"
"id_12,36.660159811481975"
"id_13,40.694264804648405"
"id_14,30.319220732818497"
"id_15,17.103417074241992"
"id_16,52.348944629740366"
"id_17,25.797080303611555"
"id_18,19.550206757981275"
"id_19,19.832712857598477"
"id_20,18.188265434061694"
"id_21,31.74428681402371"
"id_22,38.02898363258028"
"id_23,12.787537197248897"
"id_24,60.61616331277129"
"id_25,46.80041652797848"
"id_26,27.124876212935273"
"id_27,10.075736592038629"
"id_28,32.41412698665495"
"id_29,37.84378847765052"
"id_30,19.600087470258593"
"id_31,15.969488040927"
"id_32,18.84161884035202"
"id_33,10.312988602629218"
"id_34,18.27228788115604"
"id_35,42.50825497953394"
"id_36,26.549995861009876"
"id_37,30.578886095311198"
"id_38,16.675232463329888"
"id_39,58.878493469668804"
"id_40,44.9422050840648"
"id_41,21.319057703375222"
"id_42,53.71118352755565"
"id_43,20.505334065334317"
"id_44,44.061513382556925"
"id_45,50.76093738407504"
"id_46,59.78211467538224"
"id_47,41.12388479814411"
"id_48,55.411966982475484"
"id_49,38.21036564852405"
"id_50,29.842142799781758"
"id_51,22.54012735907173"
"id_52,44.39322330922854"
"id_53,25.633342844003145"
"id_54,37.74182987249848"
"id_55,37.96711843069628"
"id_56,26.3828168398832"
"id_57,22.682390119977434"
"id_58,37.256198405105565"
"id_59,34.45955256844077"
"id_60,10.304196309339089"
"id_61,20.94801775824749"
"id_62,30.546016913258697"
"id_63,49.87461992483292"
"id_64,48.09324921404952"
"id_65,23.186345603174733"
"id_66,35.74295965144412"
"id_67,50.15735090617818"
"id_68,26.412995435412707"
"id_69,38.492704107004485"
"id_70,59.86628903499655"
"id_71,50.626043902273025"
"id_72,39.11598541511226"
"id_73,12.634486274116558"
"id_74,12.814360124183949"
"id_75,32.26733151965041"
"id_76,57.822894281209926"
"id_77,2.204059674403802"
"id_78,38.379149253696404"
"id_79,38.5908713396616"
"id_80,10.330053215610576"
"id_81,17.345841525677592"
"id_82,6.154206077380495"
"id_83,32.768220767137706"
"id_84,7.602376918612828"
"id_85,4.585592010315277"
"id_86,18.078062811538345"
"id_87,12.562365933575345"
"id_88,17.861951865464388"
"id_89,19.647407770624106"
"id_90,35.88598257814468"
"id_91,13.12313878840015"
"id_92,12.091884597291944"
"id_93,12.875333803422825"
"id_94,37.050567011832285"
"id_95,14.768124313222502"
"id_96,16.835972542943217"
"id_97,9.447722198183687"
"id_98,12.688456676834608"
"id_99,4.653561406383148"
"id_100,11.884954170654991"
"id_101,20.171272251838136"
"id_102,10.788421331003729"
"id_103,8.988830037736047"
"id_104,15.192238875507787"
"id_105,36.77867455000441"
"id_106,22.241748670781554"
"id_107,8.3058561840329"
"id_108,18.998146065465015"
"id_109,17.390899468967852"
"id_110,12.734865482206501"
"id_111,17.706412171797904"
"id_112,18.99370935925708"
"id_113,23.437962741611074"
"id_114,20.406860256061695"
"id_115,17.666218029642753"
"id_116,8.986727775365683"
"id_117,45.75272011069663"
"id_118,27.355274964245655"
"id_119,2.4843985742214687"
"id_120,-3.2970459932514844"
"id_121,8.789319315132582"
"id_122,13.593166648889552"
"id_123,11.507717917569158"
"id_124,7.8208479465612495"
"id_125,25.70210120654854"
"id_126,22.7461959221885"
"id_127,10.099013049069573"
"id_128,19.312597600709015"
"id_129,7.682993923766109"
"id_130,-2.696635048341792"
"id_131,31.560483180448202"
"id_132,15.085761828192265"
"id_133,20.847854342412813"
"id_134,26.20757600809354"
"id_135,25.534465803800114"
